Long,Lat,Star,Country
-73.985967,40.753698,4.0,USA
-73.9966090932068,40.7561930774282,4.5,USA
-73.9907944748688,40.7483655239542,4.0,USA
-73.98945,40.74409,4.0,USA
-74.0009234316419,40.7461547329618,4.0,USA
-73.98547,40.75641,4.0,USA
-73.98466,40.75269,4.0,USA
-73.99015,40.76047,4.0,USA
-74.00314,40.7436999,4.0,USA
-74.000778,40.742702,4.0,USA
-73.996757,40.750534,5.0,USA
-73.983901,40.747844,4.0,USA
-73.98588180542,40.7515934305237,4.0,USA
-73.9993392,40.7454863,4.0,USA
-73.99441,40.75568,4.5,USA
-73.98661,40.74451,4.0,USA
-73.99467,40.75612,4.0,USA
-73.991378,40.759806,4.0,USA
-73.9864,40.74697,4.0,USA
-73.99071,40.75543,4.0,USA
-73.98824,40.74519,4.5,USA
-73.9912872,40.7454185,4.0,USA
